Part Family,Material Grade,Threading Type,Coating Type,Weight (MT),Length (inches),Diameter (inches),RM Cost/MT,Volume,Alpha,Beta,Gamma,Price
Europe,4130,TenarisHydril Blue®,Carbide Coating,192,114,10,"$1,470.00",8953.539063,1.8,1.17,1.1,"$8,567,802.35"
Singapore,F22,VAM TOP®,Xylan Coating,160,9,5,"$2,215.29",176.7145868,2.5,1.2,1.01,"$333,312.76"
USA,F22,TenarisHydril Blue®,Cu Plating,145,135,30,"$2,528.07",95425.87685,2.5,1.17,1.02,"$202,249,574.40"
Brazil,4130,TenarisHydril Blue®,Xylan Coating,11,132,21,"$1,781.00",45719.59789,1.8,1.17,1.01,"$48,668,995.42"
USA,F22,JFE Lion,Carbide Coating,95,77,31,"$2,528.07",58117.1079,2.5,1.15,1.1,"$130,565,953.09"
Romania,4130,VAM TOP®,Phosphating,15,98,4,"$1,609.20",1231.50432,1.8,1.2,1,"$1,202,834.94"
Europe,4130,JFE Lion,Cu Plating,107,19,22,"$1,470.00",7222.521511,1.8,1.15,1.02,"$6,299,165.46"
India,F22,TenarisHydril Blue®,Phosphating,4,41,2,"$1,998.00",128.8052988,2.5,1.17,1,"$211,524.85"
Brazil,4130,JFE Lion,Ni Plating,48,12,6,"$1,781.00",339.2920066,1.8,1.15,1.05,"$369,065.55"
China,4130,TenarisHydril Blue®,Phosphating,192,28,28,"$1,370.00",17241.06048,1.8,1.17,1,"$13,978,134.96"
China,F22,TenarisHydril Blue®,Cu Plating,125,134,29,"$1,830.00",88509.66063,2.5,1.17,1.02,"$135,791,982.03"
Romania,4130,JFE Lion,Xylan Coating,36,104,10,"$1,609.20",8168.140899,1.8,1.15,1.01,"$7,722,026.43"
Romania,F22,TenarisHydril Blue®,Xylan Coating,131,61,20,"$2,415.00",19163.71519,2.5,1.17,1.01,"$38,419,384.85"
Europe,F22,TenarisHydril Blue®,Carbide Coating,24,51,35,"$2,400.00",49067.75026,2.5,1.17,1.1,"$106,471,228.07"
Romania,4130,VAM TOP®,Ni Plating,167,32,16,"$1,609.20",6433.981755,1.8,1.2,1.05,"$6,598,408.81"
USA,4130,TenarisHydril Blue®,Xylan Coating,139,37,40,"$1,690.50",46495.57127,1.8,1.17,1.01,"$46,979,979.59"
Romania,4130,TenarisHydril Blue®,Cu Plating,139,62,35,"$1,609.20",59650.99051,1.8,1.17,1.02,"$57,941,874.61"
Europe,F22,TenarisHydril Blue®,Xylan Coating,193,36,3,"$2,400.00",254.4690049,2.5,1.17,1.01,"$506,990.36"
India,4130,JFE Lion,Phosphating,191,42,10,"$1,190.00",3298.672286,1.8,1.15,1,"$2,283,299.06"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,95,75,18,"$1,473.45",19085.17537,1.8,1.17,1.1,"$18,305,809.14"
Romania,4130,JFE Lion,Phosphating,65,96,37,"$1,609.20",103220.1682,1.8,1.15,1,"$96,616,489.10"
USA,4130,TenarisHydril Blue®,Carbide Coating,104,30,24,"$1,690.50",13571.68026,1.8,1.17,1.1,"$14,935,032.31"
India,4130,JFE Lion,Phosphating,200,33,8,"$1,190.00",1658.760921,1.8,1.15,1,"$1,148,173.24"
Singapore,F22,JFE Lion,Ni Plating,72,29,11,"$2,215.29",2755.962155,2.5,1.15,1.05,"$5,178,897.37"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,44,56,12,"$1,473.45",6333.45079,1.8,1.17,1.1,"$6,074,816.66"
Singapore,4130,VAM TOP®,Xylan Coating,184,90,21,"$1,473.45",31172.45311,1.8,1.2,1.01,"$28,157,093.84"
Singapore,F22,TenarisHydril Blue®,Ni Plating,110,46,21,"$2,215.29",15932.58714,2.5,1.17,1.05,"$30,460,594.76"
Europe,F22,VAM TOP®,Carbide Coating,29,76,19,"$2,400.00",21548.18401,2.5,1.2,1.1,"$47,955,914.48"
India,4130,TenarisHydril Blue®,Phosphating,80,128,22,"$1,190.00",48656.98702,1.8,1.17,1,"$34,265,483.23"
Singapore,F22,JFE Lion,Xylan Coating,193,23,27,"$2,215.29",13168.77101,2.5,1.15,1.01,"$23,803,530.49"
India,F22,VAM TOP®,Phosphating,183,14,8,"$1,998.00",703.7167544,2.5,1.2,1,"$1,185,279.98"
Romania,F22,JFE Lion,Carbide Coating,26,16,19,"$2,415.00",4536.459792,2.5,1.15,1.1,"$9,735,786.80"
Europe,4130,TenarisHydril Blue®,Carbide Coating,72,105,39,"$1,470.00",125432.0137,1.8,1.17,1.1,"$120,028,146.91"
USA,F22,VAM TOP®,Ni Plating,20,110,20,"$2,528.07",34557.51919,2.5,1.2,1.05,"$77,330,091.94"
Romania,4130,TenarisHydril Blue®,Carbide Coating,105,2,17,"$1,609.20",453.9601384,1.8,1.17,1.1,"$475,537.88"
India,4130,TenarisHydril Blue®,Xylan Coating,181,70,15,"$1,190.00",12370.02107,1.8,1.17,1.01,"$8,798,395.12"
China,4130,VAM TOP®,Cu Plating,8,123,25,"$1,370.00",60377.48381,1.8,1.2,1.02,"$51,210,123.14"
Romania,F22,JFE Lion,Carbide Coating,180,69,23,"$2,415.00",28667.81836,2.5,1.15,1.1,"$61,524,576.55"
China,4130,TenarisHydril Blue®,Cu Plating,176,64,35,"$1,370.00",61575.21601,1.8,1.17,1.02,"$50,920,348.78"
India,4130,TenarisHydril Blue®,Phosphating,140,106,40,"$1,190.00",133203.5285,1.8,1.17,1,"$93,805,300.16"
Europe,F22,TenarisHydril Blue®,Ni Plating,12,66,5,"$2,400.00",1295.90697,2.5,1.17,1.05,"$2,684,148.61"
China,F22,VAM TOP®,Ni Plating,101,139,9,"$1,830.00",8842.797922,2.5,1.2,1.05,"$14,323,780.72"
Brazil,4130,VAM TOP®,Cu Plating,20,89,10,"$1,781.00",6990.043654,1.8,1.2,1.02,"$7,707,331.70"
India,F22,TenarisHydril Blue®,Cu Plating,44,57,35,"$1,998.00",54840.42676,2.5,1.17,1.02,"$91,860,471.81"
Europe,4130,TenarisHydril Blue®,Cu Plating,93,7,27,"$1,470.00",4007.886828,1.8,1.17,1.02,"$3,556,293.88"
India,4130,JFE Lion,Xylan Coating,174,130,30,"$1,190.00",91891.58512,1.8,1.15,1.01,"$64,242,250.08"
China,F22,VAM TOP®,Xylan Coating,195,72,34,"$1,830.00",65370.25994,2.5,1.2,1.01,"$101,854,506.76"
India,F22,TenarisHydril Blue®,Phosphating,2,31,5,"$1,998.00",608.6835766,2.5,1.17,1,"$999,583.91"
USA,F22,VAM TOP®,Ni Plating,71,52,30,"$2,528.07",36756.63405,2.5,1.2,1.05,"$82,251,097.80"
China,F22,TenarisHydril Blue®,Cu Plating,105,99,23,"$1,830.00",41132.08722,2.5,1.17,1.02,"$63,105,062.30"
Singapore,F22,VAM TOP®,Ni Plating,77,139,13,"$2,215.29",18449.78826,2.5,1.2,1.05,"$36,177,524.56"
India,4130,TenarisHydril Blue®,Phosphating,122,33,14,"$1,190.00",5079.955321,1.8,1.17,1,"$3,577,433.26"
Europe,4130,JFE Lion,Cu Plating,127,79,22,"$1,470.00",30030.48418,1.8,1.15,1.02,"$26,191,266.90"
Brazil,F22,TenarisHydril Blue®,Carbide Coating,116,6,39,"$2,379.00",7167.543639,2.5,1.17,1.1,"$15,416,637.59"
China,F22,JFE Lion,Carbide Coating,156,12,29,"$1,830.00",7926.238265,2.5,1.15,1.1,"$12,890,063.80"
China,4130,TenarisHydril Blue®,Phosphating,79,117,1,"$1,370.00",91.89158512,1.8,1.17,1,"$74,500.81"
Europe,4130,TenarisHydril Blue®,Xylan Coating,83,29,18,"$1,470.00",7379.601143,1.8,1.17,1.01,"$6,483,899.65"
USA,F22,VAM TOP®,Carbide Coating,10,11,18,"$2,528.07",2799.159054,2.5,1.2,1.1,"$6,562,010.66"
Romania,4130,VAM TOP®,Ni Plating,84,139,18,"$1,609.20",35371.19169,1.8,1.2,1.05,"$36,275,139.05"
Romania,F22,TenarisHydril Blue®,Cu Plating,174,59,25,"$2,415.00",28961.55728,2.5,1.17,1.02,"$58,636,954.74"
India,F22,TenarisHydril Blue®,Carbide Coating,70,32,2,"$1,998.00",100.5309649,2.5,1.17,1.1,"$181,601.83"
Europe,F22,VAM TOP®,Ni Plating,43,11,25,"$2,400.00",5399.612373,2.5,1.2,1.05,"$11,470,720.54"
Europe,F22,VAM TOP®,Xylan Coating,2,91,2,"$2,400.00",285.8849315,2.5,1.2,1.01,"$584,186.42"
USA,F22,JFE Lion,Phosphating,42,7,35,"$2,528.07",6734.789251,2.5,1.15,1,"$13,754,894.83"
Europe,4130,TenarisHydril Blue®,Ni Plating,138,12,35,"$1,470.00",11545.353,1.8,1.17,1.05,"$10,545,775.86"
USA,F22,TenarisHydril Blue®,Xylan Coating,129,32,40,"$2,528.07",40212.38597,2.5,1.17,1.01,"$84,392,237.48"
China,4130,JFE Lion,Carbide Coating,75,62,7,"$1,370.00",2386.03962,1.8,1.15,1.1,"$2,091,546.71"
Romania,4130,VAM TOP®,Ni Plating,90,103,16,"$1,609.20",20709.37877,1.8,1.2,1.05,"$21,238,628.35"
Europe,F22,JFE Lion,Phosphating,127,78,39,"$2,400.00",93178.06731,2.5,1.15,1,"$180,662,954.71"
China,F22,JFE Lion,Carbide Coating,134,106,13,"$1,830.00",14069.6227,2.5,1.15,1.1,"$22,880,757.33"
Europe,4130,JFE Lion,Ni Plating,192,70,28,"$1,470.00",43102.65121,1.8,1.15,1.05,"$38,697,889.77"
Europe,4130,TenarisHydril Blue®,Xylan Coating,52,63,39,"$1,470.00",75259.20821,1.8,1.17,1.01,"$66,124,597.30"
India,F22,TenarisHydril Blue®,Carbide Coating,8,41,23,"$1,998.00",17034.50077,2.5,1.17,1.1,"$30,771,578.11"
China,F22,JFE Lion,Phosphating,121,93,12,"$1,830.00",10518.0522,2.5,1.15,1,"$15,550,006.71"
USA,F22,TenarisHydril Blue®,Phosphating,158,46,17,"$2,528.07",10441.08318,2.5,1.17,1,"$21,695,359.01"
Romania,F22,TenarisHydril Blue®,Cu Plating,64,127,40,"$2,415.00",159592.9068,2.5,1.17,1.02,"$323,119,436.03"
Romania,F22,VAM TOP®,Carbide Coating,93,36,24,"$2,415.00",16286.01632,2.5,1.2,1.1,"$36,471,385.38"
China,F22,VAM TOP®,Xylan Coating,144,75,4,"$1,830.00",942.4777961,2.5,1.2,1.01,"$1,468,490.58"
USA,4130,JFE Lion,Phosphating,184,25,33,"$1,690.50",21382.465,1.8,1.15,1,"$21,025,658.69"
China,F22,VAM TOP®,Ni Plating,112,132,25,"$1,830.00",64795.34848,2.5,1.2,1.05,"$104,957,092.95"
Brazil,4130,TenarisHydril Blue®,Carbide Coating,22,133,13,"$1,781.00",17653.39452,1.8,1.17,1.1,"$20,466,779.86"
Europe,F22,TenarisHydril Blue®,Carbide Coating,8,93,38,"$2,400.00",105472.6902,2.5,1.17,1.1,"$228,863,291.87"
Singapore,4130,VAM TOP®,Carbide Coating,46,127,5,"$1,473.45",2493.639169,1.8,1.2,1.1,"$2,453,136.82"
Singapore,F22,TenarisHydril Blue®,Phosphating,11,5,18,"$2,215.29",1272.345025,2.5,1.17,1,"$2,316,688.66"
Brazil,4130,JFE Lion,Carbide Coating,22,64,26,"$1,781.00",33979.46614,1.8,1.15,1.1,"$38,721,290.35"
Brazil,4130,VAM TOP®,Cu Plating,65,52,25,"$1,781.00",25525.44031,1.8,1.2,1.02,"$28,144,750.60"
Europe,4130,VAM TOP®,Ni Plating,179,135,27,"$1,470.00",77294.96025,1.8,1.2,1.05,"$72,413,223.90"
China,F22,TenarisHydril Blue®,Xylan Coating,41,96,2,"$1,830.00",301.5928947,2.5,1.17,1.01,"$458,169.06"
Singapore,4130,JFE Lion,Phosphating,64,12,38,"$1,473.45",13609.37938,1.8,1.15,1,"$11,664,077.30"
Brazil,4130,JFE Lion,Phosphating,51,98,3,"$1,781.00",692.7211801,1.8,1.15,1,"$717,627.46"
Europe,4130,VAM TOP®,Cu Plating,152,61,17,"$1,470.00",13845.78422,1.8,1.2,1.02,"$12,600,713.49"
India,4130,JFE Lion,Carbide Coating,198,101,10,"$1,190.00",7932.52145,1.8,1.15,1.1,"$6,039,869.67"
Brazil,4130,VAM TOP®,Xylan Coating,142,85,15,"$1,781.00",15020.73987,1.8,1.2,1.01,"$16,399,729.68"
USA,F22,VAM TOP®,Ni Plating,109,11,26,"$2,528.07",5840.220743,2.5,1.2,1.05,"$13,068,785.54"
USA,F22,TenarisHydril Blue®,Cu Plating,60,7,35,"$2,528.07",6734.789251,2.5,1.17,1.02,"$14,273,992.60"
Singapore,F22,TenarisHydril Blue®,Phosphating,71,68,23,"$2,215.29",28252.34273,2.5,1.17,1,"$51,441,928.74"
Singapore,4130,TenarisHydril Blue®,Cu Plating,41,5,30,"$1,473.45",3534.291735,1.8,1.17,1.02,"$3,143,421.77"
India,F22,JFE Lion,Ni Plating,28,12,37,"$1,998.00",12902.52103,2.5,1.15,1.05,"$21,867,721.16"
Romania,4130,VAM TOP®,Ni Plating,8,54,5,"$1,609.20",1060.287521,1.8,1.2,1.05,"$1,087,384.26"
Romania,4130,VAM TOP®,Ni Plating,128,65,12,"$1,609.20",7351.326809,1.8,1.2,1.05,"$7,539,197.56"
Brazil,4130,JFE Lion,Phosphating,171,127,7,"$1,781.00",4887.532771,1.8,1.15,1,"$5,063,260.44"
Europe,F22,TenarisHydril Blue®,Cu Plating,157,101,14,"$2,400.00",15547.74204,2.5,1.17,1.02,"$31,283,182.65"
Romania,F22,JFE Lion,Cu Plating,93,83,17,"$2,415.00",18839.34575,2.5,1.15,1.02,"$37,491,023.11"
Brazil,F22,JFE Lion,Carbide Coating,138,82,40,"$2,379.00",103044.239,2.5,1.15,1.1,"$217,848,720.00"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,4,42,37,"$1,473.45",45158.8236,1.8,1.17,1.1,"$43,314,708.39"
Brazil,4130,TenarisHydril Blue®,Phosphating,54,74,8,"$1,781.00",3719.645702,1.8,1.17,1,"$3,920,398.20"
USA,F22,JFE Lion,Phosphating,11,50,4,"$2,528.07",628.3185307,2.5,1.15,1,"$1,283,255.49"
China,4130,TenarisHydril Blue®,Carbide Coating,158,87,31,"$1,370.00",65664.78425,1.8,1.17,1.1,"$58,561,266.52"
USA,4130,VAM TOP®,Carbide Coating,59,95,37,"$1,690.50",102144.9581,1.8,1.2,1.1,"$115,288,202.00"
USA,F22,TenarisHydril Blue®,Carbide Coating,71,101,7,"$2,528.07",3886.935511,2.5,1.17,1.1,"$8,884,260.94"
China,4130,TenarisHydril Blue®,Carbide Coating,23,122,14,"$1,370.00",18780.44088,1.8,1.17,1.1,"$16,748,801.00"
India,4130,VAM TOP®,Carbide Coating,161,14,32,"$1,190.00",11259.46807,1.8,1.2,1.1,"$8,945,767.18"
USA,4130,VAM TOP®,Ni Plating,172,29,10,"$1,690.50",2277.654674,1.8,1.2,1.05,"$2,453,874.93"
USA,F22,TenarisHydril Blue®,Xylan Coating,193,30,30,"$2,528.07",21205.75041,2.5,1.17,1.01,"$44,503,718.99"
USA,4130,TenarisHydril Blue®,Phosphating,139,23,40,"$1,690.50",28902.65241,1.8,1.17,1,"$28,914,624.85"
Brazil,F22,VAM TOP®,Cu Plating,184,30,4,"$2,379.00",376.9911184,2.5,1.2,1.02,"$771,175.65"
Singapore,F22,VAM TOP®,Xylan Coating,4,138,9,"$2,215.29",8779.18067,2.5,1.2,1.01,"$16,558,977.73"
Singapore,F22,VAM TOP®,Phosphating,111,65,36,"$2,215.29",66161.94128,2.5,1.2,1,"$123,556,728.66"
Brazil,4130,VAM TOP®,Xylan Coating,39,25,6,"$1,781.00",706.8583471,1.8,1.2,1.01,"$771,751.98"
Singapore,F22,TenarisHydril Blue®,Xylan Coating,73,78,24,"$2,215.29",35286.36869,2.5,1.17,1.01,"$64,891,993.89"
China,4130,TenarisHydril Blue®,Ni Plating,126,10,3,"$1,370.00",70.68583471,1.8,1.17,1.05,"$60,173.73"
China,4130,TenarisHydril Blue®,Ni Plating,109,84,36,"$1,370.00",85501.58566,1.8,1.17,1.05,"$72,786,145.61"
Europe,4130,JFE Lion,Carbide Coating,142,100,17,"$1,470.00",22698.00692,1.8,1.15,1.1,"$21,348,846.24"
India,4130,VAM TOP®,Phosphating,166,21,1,"$1,190.00",16.49336143,1.8,1.2,1,"$11,912.86"
Brazil,4130,VAM TOP®,Cu Plating,71,70,26,"$1,781.00",37165.04109,1.8,1.2,1.02,"$40,978,756.88"
USA,4130,JFE Lion,Phosphating,156,113,15,"$1,690.50",19968.7483,1.8,1.15,1,"$19,635,532.50"
Romania,4130,VAM TOP®,Ni Plating,134,36,18,"$1,609.20",9160.884178,1.8,1.2,1.05,"$9,395,000.04"
Romania,F22,TenarisHydril Blue®,Phosphating,7,40,37,"$2,415.00",43008.40343,2.5,1.17,1,"$85,369,482.00"
Romania,4130,VAM TOP®,Phosphating,135,84,31,"$1,609.20",63400.48134,1.8,1.2,1,"$61,924,520.17"
Europe,4130,JFE Lion,Ni Plating,85,13,40,"$1,470.00",16336.2818,1.8,1.15,1.05,"$14,666,838.69"
Romania,4130,JFE Lion,Carbide Coating,163,104,16,"$1,609.20",20910.4407,1.8,1.15,1.1,"$21,529,927.15"
Romania,F22,VAM TOP®,Phosphating,141,104,32,"$2,415.00",83641.76281,2.5,1.2,1,"$170,281,664.61"
Brazil,F22,JFE Lion,Xylan Coating,164,49,11,"$2,379.00",4656.625711,2.5,1.15,1.01,"$9,039,227.49"
USA,4130,VAM TOP®,Ni Plating,63,85,14,"$1,690.50",13084.7334,1.8,1.2,1.05,"$14,097,088.42"
India,F22,VAM TOP®,Phosphating,27,37,2,"$1,998.00",116.2389282,2.5,1.2,1,"$195,782.85"
Europe,4130,JFE Lion,Phosphating,101,87,17,"$1,470.00",19747.26602,1.8,1.15,1,"$16,884,996.57"
Brazil,F22,VAM TOP®,Ni Plating,182,122,25,"$2,379.00",59886.60996,2.5,1.2,1.05,"$126,107,537.44"
Europe,F22,VAM TOP®,Carbide Coating,178,32,38,"$2,400.00",36291.67833,2.5,1.2,1.1,"$80,767,855.97"
China,F22,VAM TOP®,Xylan Coating,178,61,33,"$1,830.00",52173.2146,2.5,1.2,1.01,"$81,291,967.39"
Romania,F22,JFE Lion,Ni Plating,192,90,26,"$2,415.00",47783.62426,2.5,1.15,1.05,"$97,888,052.86"
USA,F22,VAM TOP®,Carbide Coating,172,64,33,"$2,528.07",54739.1104,2.5,1.2,1.1,"$128,323,764.00"
Europe,4130,VAM TOP®,Cu Plating,174,25,28,"$1,470.00",15393.804,1.8,1.2,1.02,"$14,009,528.86"
Europe,4130,TenarisHydril Blue®,Ni Plating,96,104,34,"$1,470.00",94423.7088,1.8,1.17,1.05,"$86,248,663.76"
China,4130,VAM TOP®,Ni Plating,15,13,38,"$1,370.00",14743.49432,1.8,1.2,1.05,"$12,872,721.23"
India,F22,JFE Lion,Phosphating,148,10,6,"$1,998.00",282.7433388,2.5,1.15,1,"$456,385.71"
India,F22,VAM TOP®,Phosphating,134,6,15,"$1,998.00",1060.287521,2.5,1.2,1,"$1,785,857.11"
China,4130,TenarisHydril Blue®,Carbide Coating,124,72,6,"$1,370.00",2035.75204,1.8,1.17,1.1,"$1,815,527.44"
India,F22,TenarisHydril Blue®,Carbide Coating,112,66,7,"$1,998.00",2539.97766,2.5,1.17,1.1,"$4,588,283.63"
China,F22,JFE Lion,Ni Plating,152,88,5,"$1,830.00",1727.875959,2.5,1.15,1.05,"$2,682,236.82"
India,F22,TenarisHydril Blue®,Phosphating,2,62,19,"$1,998.00",17578.78169,2.5,1.17,1,"$28,867,983.41"
Brazil,4130,VAM TOP®,Ni Plating,164,139,10,"$1,781.00",10917.03447,1.8,1.2,1.05,"$12,391,331.37"
USA,4130,TenarisHydril Blue®,Ni Plating,139,25,2,"$1,690.50",78.53981634,1.8,1.17,1.05,"$82,500.97"
Romania,4130,VAM TOP®,Ni Plating,18,105,7,"$1,609.20",4040.873551,1.8,1.2,1.05,"$4,144,142.25"
Brazil,4130,JFE Lion,Phosphating,122,114,9,"$1,781.00",7252.366641,1.8,1.15,1,"$7,513,120.19"
India,4130,VAM TOP®,Carbide Coating,193,58,31,"$1,190.00",43776.52283,1.8,1.2,1.1,"$34,780,913.17"
India,F22,JFE Lion,Phosphating,145,111,17,"$1,998.00",25194.78768,2.5,1.15,1,"$40,667,769.72"
Brazil,F22,TenarisHydril Blue®,Phosphating,59,59,34,"$2,379.00",53567.29634,2.5,1.17,1,"$104,743,325.80"
Brazil,F22,VAM TOP®,Cu Plating,193,138,36,"$2,379.00",140466.8907,2.5,1.2,1.02,"$287,340,046.51"
Europe,F22,TenarisHydril Blue®,Xylan Coating,95,107,12,"$2,400.00",12101.4149,2.5,1.17,1.01,"$24,110,207.99"
Singapore,F22,TenarisHydril Blue®,Carbide Coating,70,35,3,"$2,215.29",247.4004215,2.5,1.17,1.1,"$495,513.96"
USA,F22,VAM TOP®,Carbide Coating,75,52,13,"$2,528.07",6902.07906,2.5,1.2,1.1,"$16,180,401.14"
China,F22,TenarisHydril Blue®,Carbide Coating,13,40,18,"$1,830.00",10178.7602,2.5,1.17,1.1,"$16,841,115.26"
Singapore,F22,JFE Lion,Carbide Coating,63,70,15,"$2,215.29",12370.02107,2.5,1.15,1.1,"$24,352,181.99"
Europe,4130,VAM TOP®,Xylan Coating,31,43,29,"$1,470.00",28402.35378,1.8,1.2,1.01,"$25,594,880.86"
Brazil,F22,TenarisHydril Blue®,Xylan Coating,185,68,34,"$2,379.00",61738.57883,2.5,1.17,1.01,"$121,928,332.47"
China,4130,VAM TOP®,Phosphating,123,56,3,"$1,370.00",395.8406744,1.8,1.2,1,"$329,155.45"
Brazil,4130,JFE Lion,Xylan Coating,162,42,28,"$1,781.00",25861.59072,1.8,1.15,1.01,"$27,059,339.59"
USA,4130,VAM TOP®,Carbide Coating,50,98,22,"$1,690.50",37253.00569,1.8,1.2,1.1,"$42,046,441.87"
Singapore,F22,TenarisHydril Blue®,Phosphating,44,58,29,"$2,215.29",38310.15161,2.5,1.17,1,"$69,755,209.62"
Europe,4130,TenarisHydril Blue®,Ni Plating,181,10,19,"$1,470.00",2835.28737,1.8,1.17,1.05,"$2,589,812.98"
China,4130,VAM TOP®,Phosphating,56,75,25,"$1,370.00",36815.53891,1.8,1.2,1,"$30,613,416.51"
USA,4130,TenarisHydril Blue®,Carbide Coating,41,34,17,"$1,690.50",7717.322354,1.8,1.17,1.1,"$8,492,571.04"
Brazil,4130,TenarisHydril Blue®,Ni Plating,129,129,5,"$1,781.00",2532.909077,1.8,1.17,1.05,"$2,803,092.99"
China,F22,VAM TOP®,Carbide Coating,98,90,2,"$1,830.00",282.7433388,2.5,1.2,1.1,"$479,803.85"
China,F22,TenarisHydril Blue®,Carbide Coating,5,13,5,"$1,830.00",255.2544031,2.5,1.17,1.1,"$422,327.35"
USA,4130,JFE Lion,Ni Plating,36,74,37,"$1,690.50",79565.54634,1.8,1.15,1.05,"$82,149,739.15"
India,F22,TenarisHydril Blue®,Carbide Coating,47,41,26,"$1,998.00",21768.0955,2.5,1.17,1.1,"$39,322,470.33"
Romania,4130,VAM TOP®,Phosphating,28,127,20,"$1,609.20",39898.2267,1.8,1.2,1,"$38,969,397.26"
Europe,F22,JFE Lion,Ni Plating,79,114,37,"$2,400.00",122573.9498,2.5,1.15,1.05,"$249,541,562.77"
USA,4130,JFE Lion,Phosphating,139,67,11,"$1,690.50",6367.222911,1.8,1.15,1,"$6,260,973.92"
India,4130,VAM TOP®,Xylan Coating,151,132,30,"$1,190.00",93305.30181,1.8,1.2,1.01,"$68,066,705.10"
China,F22,JFE Lion,Xylan Coating,26,29,28,"$1,830.00",17856.81264,2.5,1.15,1.01,"$26,663,709.83"
China,4130,TenarisHydril Blue®,Phosphating,74,115,28,"$1,370.00",70811.49841,1.8,1.17,1,"$57,410,197.16"
Brazil,4130,TenarisHydril Blue®,Xylan Coating,184,114,23,"$1,781.00",47364.22164,1.8,1.17,1.01,"$50,419,714.80"
Europe,4130,TenarisHydril Blue®,Cu Plating,37,102,4,"$1,470.00",1281.769803,1.8,1.17,1.02,"$1,137,345.02"
Brazil,4130,JFE Lion,Carbide Coating,121,113,24,"$1,781.00",51119.99566,1.8,1.15,1.1,"$58,253,775.56"
Brazil,4130,TenarisHydril Blue®,Xylan Coating,38,94,36,"$1,781.00",95680.34586,1.8,1.17,1.01,"$101,852,739.95"
Romania,F22,VAM TOP®,Xylan Coating,39,109,40,"$2,415.00",136973.4397,2.5,1.2,1.01,"$281,645,259.26"
Europe,4130,JFE Lion,Cu Plating,29,102,2,"$1,470.00",320.4424507,1.8,1.15,1.02,"$279,475.81"
Singapore,4130,TenarisHydril Blue®,Ni Plating,44,55,11,"$1,473.45",5226.824777,1.8,1.17,1.05,"$4,785,500.11"
Europe,F22,JFE Lion,Carbide Coating,67,56,25,"$2,400.00",27488.93572,2.5,1.15,1.1,"$58,628,127.21"
India,4130,TenarisHydril Blue®,Phosphating,152,106,26,"$1,190.00",56278.4908,1.8,1.17,1,"$39,632,739.32"
China,4130,VAM TOP®,Cu Plating,70,77,5,"$1,370.00",1511.891465,1.8,1.2,1.02,"$1,282,334.79"
Europe,4130,JFE Lion,Ni Plating,42,72,21,"$1,470.00",24937.96248,1.8,1.15,1.05,"$22,389,493.37"
Romania,F22,VAM TOP®,Xylan Coating,96,39,35,"$2,415.00",37522.39726,2.5,1.2,1.01,"$77,153,682.69"
USA,4130,VAM TOP®,Cu Plating,3,28,14,"$1,690.50",4310.265121,1.8,1.2,1.02,"$4,511,068.29"
Romania,4130,TenarisHydril Blue®,Carbide Coating,182,58,27,"$1,609.20",33208.20514,1.8,1.17,1.1,"$34,786,665.33"
India,F22,TenarisHydril Blue®,Carbide Coating,43,136,26,"$1,998.00",72206.36555,2.5,1.17,1.1,"$130,435,511.33"
USA,4130,TenarisHydril Blue®,Ni Plating,143,17,7,"$1,690.50",654.2366701,1.8,1.17,1.05,"$687,233.06"
USA,F22,JFE Lion,Cu Plating,61,55,20,"$2,528.07",17278.75959,2.5,1.15,1.02,"$35,995,316.61"
Brazil,4130,TenarisHydril Blue®,Carbide Coating,178,133,17,"$1,781.00",30188.34921,1.8,1.17,1.1,"$34,999,404.61"
Romania,F22,VAM TOP®,Cu Plating,141,86,13,"$2,415.00",11414.97691,2.5,1.2,1.02,"$23,703,906.13"
USA,F22,VAM TOP®,Phosphating,152,2,33,"$2,528.07",1710.5972,2.5,1.2,1,"$3,645,561.48"
Romania,4130,VAM TOP®,Carbide Coating,59,83,32,"$1,609.20",66752.5607,1.8,1.2,1.1,"$71,718,419.55"
India,4130,JFE Lion,Phosphating,66,66,30,"$1,190.00",46652.65091,1.8,1.15,1,"$32,292,372.47"
Romania,4130,TenarisHydril Blue®,Phosphating,96,1,35,"$1,609.20",962.1127502,1.8,1.17,1,"$916,221.93"
China,F22,JFE Lion,Xylan Coating,140,39,24,"$1,830.00",17643.18434,2.5,1.15,1.01,"$26,344,721.04"
USA,4130,JFE Lion,Ni Plating,42,4,10,"$1,690.50",314.1592654,1.8,1.15,1.05,"$324,362.78"
Singapore,F22,VAM TOP®,Cu Plating,112,87,26,"$2,215.29",46190.83679,2.5,1.2,1.02,"$87,986,119.33"
Singapore,F22,VAM TOP®,Ni Plating,194,29,22,"$2,215.29",11023.84862,2.5,1.2,1.05,"$21,616,267.28"
Singapore,F22,JFE Lion,Cu Plating,15,94,6,"$2,215.29",2657.787385,2.5,1.15,1.02,"$4,851,713.68"
India,F22,TenarisHydril Blue®,Phosphating,157,91,10,"$1,998.00",7147.123287,2.5,1.17,1,"$11,737,049.82"
Europe,4130,JFE Lion,Ni Plating,123,138,4,"$1,470.00",1734.159145,1.8,1.15,1.05,"$1,556,941.34"
